conf_threshold,images,gt_boxes,pred_boxes,avg_pred_boxes_per_image,tp,fp,fn,precision,recall,f1,delta_pred_boxes,delta_precision,delta_recall,delta_f1
0.7,871,2547,2582,2.9644087256027554,2217,365,330,0.8586367157242448,0.8704358068315665,0.8644960031195164,0,0.0,0.0,0.0
0.71,871,2547,2572,2.9529276693455797,2212,360,335,0.8600311041990669,0.8684727129956812,0.8642312951748389,-10,0.0013943884748220947,-0.0019630938358853323,-0.00026470794467747805
0.72,871,2547,2554,2.9322617680826637,2202,352,345,0.8621769772905247,0.8645465253239105,0.8633601254655949,-18,0.0021458730914577506,-0.0039261876717706645,-0.0008711697092439463
0.73,871,2547,2543,2.9196326061997704,2194,349,353,0.8627605190719623,0.861405575186494,0.8620825147347742,-11,0.000583541781437602,-0.003140950137416554,-0.0012776107308207774
0.74,871,2547,2525,2.8989667049368544,2189,336,358,0.8669306930693069,0.8594424813506085,0.8631703470031545,-18,0.0041701739973446506,-0.0019630938358854433,0.0010878322683803843
0.75,871,2547,2517,2.8897818599311136,2184,333,363,0.867699642431466,0.8574793875147232,0.8625592417061612,-8,0.0007689493621590993,-0.0019630938358853323,-0.000611105296993375
0.76,871,2547,2504,2.8748564867967854,2179,325,368,0.8702076677316294,0.8555162936788379,0.862799445654326,-13,0.0025080253001633634,-0.0019630938358853323,0.00024020394816481883
0.77,871,2547,2488,2.8564867967853043,2171,317,376,0.872588424437299,0.8523753435414213,0.8623634558093346,-16,0.0023807567056696177,-0.003140950137416554,-0.00043598984499138016
0.78,871,2547,2478,2.8450057405281286,2164,314,383,0.8732849071832123,0.8496270121711818,0.8612935323383085,-10,0.0006964827459132739,-0.002748331370239554,-0.0010699234710260797
0.79,871,2547,2457,2.8208955223880596,2155,302,392,0.877085877085877,0.8460934432665882,0.8613109512390087,-21,0.0038009699026647636,-0.0035335689045935537,1.741890070017238e-05
0.8,871,2547,2432,2.7921928817451205,2138,294,409,0.8791118421052632,0.839418924224578,0.8588069893552922,-25,0.0020259650193861223,-0.0066745190420102185,-0.002503961883716488
0.81,871,2547,2409,2.7657864523536166,2129,280,418,0.883769198837692,0.8358853553199843,0.8591606133979014,-23,0.004657356732428841,-0.0035335689045936647,0.0003536240426091908
0.82,871,2547,2382,2.734787600459242,2117,265,430,0.8887489504617968,0.8311739301138594,0.858997768310002,-27,0.0049797516241048,-0.004711425206124886,-0.00016284508789943253
0.83,871,2547,2359,2.7083811710677383,2101,258,446,0.890631623569309,0.8248920298390263,0.8565022421524664,-23,0.0018826731075122227,-0.006281900274833108,-0.002495526157535566
0.84,871,2547,2331,2.6762342135476462,2090,241,457,0.8966108966108967,0.8205732234000785,0.8569085690856908,-28,0.005979273041587629,-0.004318806438947775,0.00040632693322439906
0.85,871,2547,2308,2.6498277841561424,2074,234,473,0.8986135181975736,0.8142913231252454,0.8543769309989702,-23,0.002002621586676967,-0.006281900274833108,-0.0025316380867206334
